VEHICULO;FECHA_ENTRADA;FECHA_SALIDA;dif_minutos;DISTANCIA_TOTAL;consumo_TOTAL;SOC_ENTRADA;SOC_SALIDA;DIF_SOC;N_Ordenes
32;2017-10-23 05:59:57.293;2017-10-20 04:53:47.550;4386;75083;-2818874;31;89;58;107
37;2017-10-23 06:07:06.600;2017-10-20 17:50:59.740;3617;1155;-702904;30;89;59;14
35;2017-10-23 18:25:24.540;2017-10-23 02:42:41.883;943;-4;-1414288;33;100;67;87
35;2017-10-23 19:09:44.920;2017-10-23 02:42:41.883;987;-36;-467841;33;100;67;87
33;2017-10-23 21:40:39.803;2017-10-23 05:15:52.310;985;-109;-292978;33;99;66;81
37;2017-10-01 22:16:35.203;2017-09-29 07:25:44.997;3771;10410917;-890603093;14;97;83;65
37;2017-10-02 00:30:45.933;2017-10-02 00:30:42.947;0;0;-2756;99;100;1;0
37;2017-10-02 00:31:55.043;2017-10-02 00:31:52.017;0;0;-2703;99;100;1;0
37;2017-10-02 00:32:04.097;2017-10-02 00:32:01.037;0;0;-2735;99;100;1;0
37;2017-10-02 02:21:47.750;2017-10-02 02:21:44.763;0;0;-2612;98;99;1;0
40;2017-10-02 04:04:11.280;2017-09-29 14:35:53.083;3689;2152112;-594611272;34;97;63;15
35;2017-10-02 06:26:47.283;2017-09-29 16:41:51.233;3705;-30;-445337;34;99;65;15
35;2017-10-02 06:36:53.600;2017-09-29 16:41:51.233;3715;0;-1764361;34;99;65;15
33;2017-10-02 11:06:17.750;2017-09-29 07:18:47.913;4548;76;-138251;34;99;65;94
32;2017-10-02 17:22:27.893;2017-10-02 09:29:16.850;473;674486;-26690535;34;80;46;69
37;2017-10-02 17:36:50.270;2017-10-02 06:33:29.213;663;5098945;-201095155;33;95;62;94
37;2017-10-02 17:38:48.397;2017-10-02 06:33:29.213;665;12;-494676;33;95;62;94
37;2017-10-02 17:48:25.757;2017-10-02 06:33:29.213;675;-70;-494325;33;95;62;94
37;2017-10-02 17:58:21.897;2017-10-02 06:33:29.213;685;189;-974220;33;95;62;94
37;2017-10-02 18:53:11.627;2017-10-02 06:33:29.213;740;-1767;-5138140;33;95;62;94
38;2017-10-02 19:00:44.293;2017-10-02 19:00:41.190;0;0;-5293;0;33;33;0
41;2017-10-02 19:13:29.253;2017-10-02 02:20:29.500;1013;3404;-6118439;33;95;62;102
32;2017-10-03 16:12:08.573;2017-10-02 18:57:28.083;1275;8645;-16336116;34;97;63;80
38;2017-10-03 16:13:55.937;2017-10-02 20:34:07.100;1179;5243626;-237204283;33;97;64;80
38;2017-10-03 16:19:43.590;2017-10-02 20:34:07.100;1185;185;-143266;33;97;64;80
33;2017-10-03 19:19:14.923;2017-10-03 05:06:59.460;853;834;-435543;34;98;64;92
41;2017-10-03 22:30:57.750;2017-10-03 16:37:14.373;353;4627686;-203849296;34;51;17;22
35;2017-10-04 00:29:24.070;2017-10-03 10:52:18.023;817;-43;-2146402;34;89;55;65
35;2017-10-04 03:54:32.187;2017-10-04 01:39:22.363;135;62433;-1998839;86;89;3;0
38;2017-10-04 09:37:52.233;2017-10-02 20:34:07.100;2223;-44;-1274668;33;97;64;80
38;2017-10-04 09:44:08.390;2017-10-02 20:34:07.100;2230;0;-432998;33;97;64;80
35;2017-10-04 11:48:01.503;2017-10-04 01:39:22.363;609;7116487;-290417770;34;89;55;84
37;2017-10-04 11:51:24.547;2017-10-02 06:33:29.213;3198;81980;-2051660;33;95;62;94
35;2017-10-04 11:51:37.207;2017-10-04 01:39:22.363;612;65558;-148135;34;89;55;84
35;2017-10-05 01:51:17.287;2017-10-04 12:57:18.270;774;0;-116480905;75;89;14;0
37;2017-10-05 02:49:46.587;2017-10-04 12:33:17.463;856;-1;-1284188;30;65;35;35
37;2017-10-05 02:53:22.357;2017-10-04 12:33:17.463;860;867;-294197;30;65;35;35
37;2017-10-05 19:14:36.510;2017-10-05 04:14:50.117;900;1028;-604687;34;89;55;76
37;2017-10-05 19:35:09.020;2017-10-05 04:14:50.117;921;-169;-1020918;34;89;55;76
37;2017-10-05 19:36:04.487;2017-10-05 04:14:50.117;922;-274;-333664;34;89;55;76
38;2017-10-05 20:29:26.353;2017-10-05 05:10:00.123;919;3521691;-150519814;34;89;55;85
40;2017-10-05 21:19:45.863;2017-10-05 08:14:33.873;785;5910194;-275148489;34;89;55;77
40;2017-10-06 23:07:03.020;2017-10-05 22:36:12.233;1471;7231;-578403;31;89;58;58
37;2017-10-09 02:53:26.740;2017-10-05 21:44:05.840;4629;-53;-31937736;33;99;66;57
35;2017-10-09 08:00:43.107;2017-10-06 10:33:44.337;4167;4586119;-253211129;34;89;55;46
32;2017-10-09 10:29:48.433;2017-10-06 08:35:18.973;4434;3541435;-168659447;34;89;55;50
33;2017-10-09 10:31:51.820;2017-10-05 23:37:54.560;4974;1805539;-103760015;33;89;56;32
32;2017-10-09 10:36:59.610;2017-10-06 08:35:18.973;4441;10;-1273413;34;89;55;50
41;2017-10-09 16:50:40.750;2017-10-09 00:41:53.993;969;9489730;-375457435;34;89;55;82
33;2017-10-09 21:08:53.820;2017-10-09 12:25:02.973;523;477;-682529;33;88;55;79
38;2017-10-10 02:17:55.567;2017-10-09 13:26:49.983;771;6545862;-309129547;33;89;56;84
37;2017-10-10 09:09:41.510;2017-10-09 18:09:13.747;900;8157190;-395175538;33;89;56;78
37;2017-10-10 09:14:49.877;2017-10-09 18:09:13.747;905;66430;-2121587;33;89;56;78
33;2017-10-10 10:42:27.287;2017-10-09 22:15:34.803;747;6517066;-275139138;33;89;56;77
33;2017-10-10 10:56:00.350;2017-10-09 22:15:34.803;761;123;-1062064;33;89;56;77
35;2017-10-10 21:44:25.127;2017-10-10 09:05:18.560;759;10299216;-462568301;33;89;56;83
37;2017-10-11 02:41:24.520;2017-10-10 10:27:40.930;974;2;-4280466;34;89;55;73
33;2017-10-11 05:32:09.937;2017-10-10 12:01:11.173;1051;2119995;-79521860;33;89;56;62
41;2017-10-11 19:50:58.473;2017-10-11 06:00:46.863;830;1640308;-82374229;34;89;55;71
33;2017-10-11 20:49:22.667;2017-10-11 06:41:31.860;848;2295873;-103096566;33;89;56;73
33;2017-10-11 21:02:27.517;2017-10-11 06:41:31.860;861;1019;-661803;33;89;56;73
33;2017-10-11 21:05:31.813;2017-10-11 06:41:31.860;864;-1756;-1576250;33;89;56;73
33;2017-10-11 21:10:41.763;2017-10-11 06:41:31.860;869;18645;-3027016;33;89;56;73
37;2017-10-11 21:19:50.433;2017-10-11 05:06:59.593;973;-94;-671305;34;89;55;77
37;2017-10-11 21:30:22.237;2017-10-11 05:06:59.593;984;0;-143093;34;89;55;77
38;2017-10-12 23:33:06.520;2017-10-11 10:23:11.993;2230;2279868;-92038325;34;89;55;58
33;2017-10-13 07:46:24.247;2017-10-11 22:17:59.190;2009;441;-418734;34;89;55;31
32;2017-10-13 08:30:42.467;2017-10-11 16:37:14.273;2393;2214220;-119403970;34;89;55;40
40;2017-10-13 09:55:39.693;2017-10-11 07:30:15.390;3025;1587566;-56804028;33;92;59;60
33;2017-10-13 10:18:30.677;2017-10-13 08:52:18.517;86;0;-12431365;87;89;2;0
33;2017-10-13 11:26:19.717;2017-10-13 10:20:49.840;66;0;-9511981;88;89;1;0
32;2017-10-13 11:27:08.080;2017-10-13 11:20:59.810;7;0;-879186;88;89;1;0
37;2017-10-13 13:04:58.790;2017-10-11 22:45:43.317;2299;402;-1963827;34;89;55;73
32;2017-10-13 13:06:31.530;2017-10-13 11:27:42.237;99;12557;-15299403;87;89;2;0
41;2017-10-13 14:02:51.430;2017-10-11 21:15:11.140;2447;354781;-16503492;34;89;55;67
41;2017-10-16 04:21:56.900;2017-10-13 15:33:13.633;3648;1540905;-540353098;26;89;63;21
33;2017-10-16 07:30:27.723;2017-10-16 07:28:21.573;2;15564;-1368003;96;97;1;0
35;2017-10-16 07:47:03.663;2017-10-13 11:56:11.470;4071;287553;-12720633;34;89;55;47
38;2017-10-16 11:25:31.250;2017-10-14 22:34:09.663;2211;-5;-567156;34;100;66;56
37;2017-10-16 12:21:04.573;2017-10-13 17:21:43.590;4020;10194;-3019593;33;89;56;66
37;2017-10-17 11:38:32.603;2017-10-17 11:09:25.310;29;-50;-4506152;88;89;1;0
41;2017-10-17 12:13:22.663;2017-10-16 18:46:57.530;1047;272337;-7611258;33;89;56;80
41;2017-10-17 12:19:02.497;2017-10-16 18:46:57.530;1053;-156;-426749;33;89;56;80
43;2017-10-17 12:53:46.787;2017-09-26 09:26:52.520;30447;860094;-37272731;34;95;61;52
32;2017-10-17 17:53:50.350;2017-10-16 23:22:24.037;1111;65527;-522590;34;89;55;121
35;2017-10-18 04:00:21.580;2017-10-17 11:31:40.243;989;0;-375638;34;89;55;61
37;2017-10-18 04:21:03.157;2017-10-17 11:39:21.027;1002;6873900;-350894677;33;89;56;77
43;2017-10-18 06:20:30.003;2017-10-17 14:04:10.970;976;1725656;-78427621;34;89;55;60
41;2017-10-18 10:59:02.687;2017-10-17 14:23:06.183;1236;2560504;-115012410;34;89;55;61
32;2017-10-18 11:32:04.933;2017-10-17 19:03:46.500;989;170;-1134287;33;89;56;55
38;2017-10-18 11:51:33.860;2017-10-17 17:56:06.253;1075;5648514;-250119942;33;98;65;69
33;2017-10-18 12:01:48.160;2017-10-17 18:56:51.160;1025;10990498;-551025108;33;89;56;68
33;2017-10-19 04:31:07.120;2017-10-18 13:10:20.737;921;-262;-864946;33;89;56;62
32;2017-10-19 07:29:20.130;2017-10-18 12:36:34.953;1133;338777;-14274421;33;89;56;132
40;2017-10-19 07:37:40.173;2017-10-18 12:39:40.220;1138;394161;-17835102;33;89;56;51
40;2017-10-19 15:14:53.777;2017-10-19 08:10:47.010;424;1450246;-80211961;34;61;27;40
43;2017-10-19 18:20:48.320;2017-10-18 23:09:09.573;1151;1021217;-44349143;34;89;55;60
33;2017-10-19 21:16:30.813;2017-10-19 08:09:36.810;787;7830756;-355428654;34;80;46;50
35;2017-10-22 21:54:42.430;2017-10-20 06:48:53.760;3786;5323825;-764721230;19;92;73;30
41;2017-10-22 22:34:27.710;2017-10-20 06:42:55.053;3832;56423;-2521679;8;89;81;26
41;2017-10-22 22:46:36.647;2017-10-20 06:42:55.053;3844;-2;-2331397;8;89;81;26
41;2017-10-22 22:47:31.907;2017-10-20 06:42:55.053;3845;35;-527384;8;89;81;26
41;2017-10-22 22:49:28.030;2017-10-20 06:42:55.053;3847;49;-540007;8;89;81;26
37;2017-10-23 02:05:19.987;2017-10-20 17:50:59.740;3375;2417947;-605741121;34;89;55;14
33;2017-10-23 03:42:17.810;2017-10-19 22:27:01.690;4635;0;-373524;34;89;55;83
37;2017-10-23 06:05:18.367;2017-10-20 17:50:59.740;3615;254;-6980459;30;89;59;14
37;2017-10-01 22:28:19.330;2017-09-29 07:25:44.997;3783;27;-1884524;14;97;83;65
37;2017-10-02 00:30:37.890;2017-10-02 00:30:34.880;0;0;-2755;99;100;1;0
37;2017-10-02 00:31:05.917;2017-10-02 00:31:02.993;0;0;-2735;99;100;1;0
37;2017-10-02 00:32:12.990;2017-10-02 00:32:09.010;0;0;-2705;99;100;1;0
32;2017-10-02 07:25:53.153;2017-09-29 12:10:18.813;4035;849;-5931794;29;95;66;25
32;2017-10-02 07:30:12.227;2017-09-29 12:10:18.813;4040;53137;-2281677;29;95;66;25
35;2017-10-02 12:37:05.220;2017-10-02 08:05:05.403;272;65127;-919426;79;96;17;22
37;2017-10-02 17:42:23.310;2017-10-02 06:33:29.213;669;-23;-478033;33;95;62;94
37;2017-10-02 17:49:00.533;2017-10-02 06:33:29.213;676;-203;-143873;33;95;62;94
37;2017-10-02 18:17:26.577;2017-10-02 06:33:29.213;704;477;-146569;33;95;62;94
40;2017-10-02 18:20:40.550;2017-10-02 07:24:05.670;656;7168946;-297261773;34;99;65;87
37;2017-10-02 18:21:34.970;2017-10-02 06:33:29.213;708;99990;-3150530;33;95;62;94
33;2017-10-03 03:40:20.973;2017-10-02 12:23:56.133;917;13590499;-603735392;33;95;62;84
35;2017-10-03 09:24:16.690;2017-10-02 15:22:49.420;1082;2398308;-96246157;34;100;66;84
35;2017-10-03 09:39:25.060;2017-10-02 15:22:49.420;1097;82754;-2606793;34;100;66;84
38;2017-10-03 16:21:48.437;2017-10-02 20:34:07.100;1187;65658;-151386;33;97;64;80
33;2017-10-04 04:00:21.457;2017-10-03 20:48:50.740;432;0;-63962260;81;89;8;0
38;2017-10-04 09:35:13.293;2017-10-02 20:34:07.100;2221;89006;-1644936;33;97;64;80
38;2017-10-04 09:41:30.547;2017-10-02 20:34:07.100;2227;-523;-673086;33;97;64;80
38;2017-10-04 09:42:14.363;2017-10-02 20:34:07.100;2228;0;-161240;33;97;64;80
33;2017-10-04 12:30:33.197;2017-10-04 04:12:08.623;498;1384556;-52836222;34;89;55;83
32;2017-10-04 20:22:38.373;2017-10-04 08:55:16.067;687;4475698;-192235208;34;89;55;73
37;2017-10-05 02:52:26.690;2017-10-04 12:33:17.463;859;-19;-635093;30;65;35;35
37;2017-10-05 02:58:02.500;2017-10-04 12:33:17.463;865;6454;-719898;30;65;35;35
40;2017-10-05 06:59:45.047;2017-10-04 10:39:55.420;1220;8904719;-478667586;33;89;56;65
32;2017-10-05 12:16:39.153;2017-10-04 21:30:56.750;886;2358118;-101853833;39;89;50;69
37;2017-10-05 19:30:01.237;2017-10-05 04:14:50.117;916;-156;-2535933;34;89;55;76
38;2017-10-06 12:51:40.420;2017-10-05 21:31:23.503;920;2462904;-119805820;34;89;55;59
38;2017-10-09 12:18:38.417;2017-10-06 13:55:11.060;4223;6551685;-358998665;33;89;56;38
33;2017-10-09 12:24:47.853;2017-10-09 11:40:24.703;44;6;-6772845;88;89;1;0
37;2017-10-09 16:58:15.557;2017-10-09 04:05:45.250;773;12896146;-572591345;34;89;55;79
32;2017-10-09 22:38:22.977;2017-10-09 12:24:37.047;614;-56;-463805;33;99;66;94
32;2017-10-09 22:38:25.877;2017-10-09 12:24:37.047;614;-56;-487539;33;99;66;94
35;2017-10-10 07:55:50.020;2017-10-09 19:58:07.240;717;3910691;-167662173;34;89;55;80
37;2017-10-11 02:14:26.203;2017-10-10 10:27:40.930;947;12874049;-577273416;34;89;55;73
37;2017-10-11 02:41:28.580;2017-10-10 10:27:40.930;974;2;-4288782;34;89;55;73
32;2017-10-11 03:53:49.210;2017-10-10 12:17:19.483;936;6538;-1045863;34;89;55;61
41;2017-10-11 04:39:20.560;2017-10-10 10:00:11.993;1119;10490946;-552930377;34;89;55;76
33;2017-10-11 05:36:27.683;2017-10-10 12:01:11.173;1055;65311;-787743;33;89;56;62
38;2017-10-11 09:09:37.487;2017-10-10 14:25:11.983;1124;5889368;-274994571;34;89;55;60
35;2017-10-11 14:43:16.890;2017-10-10 22:55:41.030;948;263490;-9982428;33;89;56;66
37;2017-10-11 21:29:44.740;2017-10-11 05:06:59.593;983;16;-774166;34;89;55;77
33;2017-10-13 13:07:54.627;2017-10-13 11:27:57.330;100;80594;-18288867;87;89;2;0
33;2017-10-13 13:10:25.510;2017-10-13 11:27:57.330;103;468;-540156;86;89;3;0
37;2017-10-13 17:16:31.170;2017-10-13 14:14:27.203;182;0;-27198347;86;89;3;0
38;2017-10-14 18:01:59.620;2017-10-13 15:17:46.883;1604;139850;-244438186;58;89;31;0
40;2017-10-16 04:15:34.953;2017-10-13 11:09:40.040;3906;7311546;-821323853;16;89;73;41
40;2017-10-16 04:19:18.393;2017-10-13 11:09:40.040;3910;-109;1446575;15;89;74;41
32;2017-10-16 09:02:33.390;2017-10-13 13:08:55.250;4074;2631478;-113049864;34;89;55;51
38;2017-10-16 11:23:03.760;2017-10-14 22:34:09.663;2209;1884825;-81407185;34;100;66;56
37;2017-10-16 12:01:53.420;2017-10-13 17:21:43.590;4000;72;-941317;33;89;56;66
37;2017-10-16 12:05:45.140;2017-10-13 17:21:43.590;4004;23;-785874;33;89;56;66
