BOTS;Operaciones;fecha;Mes;dia_semana;hora
8;25;19/10/2017;10;4;21
5;21;19/10/2017;10;4;22
4;17;19/10/2017;10;4;23
4;7;20/10/2017;10;5;0
3;3;20/10/2017;10;5;2
5;8;20/10/2017;10;5;3
6;22;20/10/2017;10;5;4
8;37;20/10/2017;10;5;5
7;29;20/10/2017;10;5;6
8;56;20/10/2017;10;5;7
8;47;20/10/2017;10;5;8
7;106;20/10/2017;10;5;9
8;27;20/10/2017;10;5;10
7;28;20/10/2017;10;5;11
7;23;20/10/2017;10;5;12
5;9;20/10/2017;10;5;13
1;1;20/10/2017;10;5;14
3;6;20/10/2017;10;5;15
4;7;20/10/2017;10;5;16
2;2;20/10/2017;10;5;20
1;2;20/10/2017;10;5;21
1;1;21/10/2017;10;6;0
2;8;22/10/2017;10;7;22
2;16;22/10/2017;10;7;23
1;5;23/10/2017;10;1;0
1;1;23/10/2017;10;1;1
4;7;23/10/2017;10;1;3
3;11;23/10/2017;10;1;4
3;4;23/10/2017;10;1;5
6;13;23/10/2017;10;1;6
6;55;23/10/2017;10;1;7
5;50;23/10/2017;10;1;8
5;60;23/10/2017;10;1;9
6;56;23/10/2017;10;1;10
7;38;23/10/2017;10;1;11
8;66;23/10/2017;10;1;12
9;68;23/10/2017;10;1;13
9;49;23/10/2017;10;1;14
9;45;23/10/2017;10;1;15
8;19;23/10/2017;10;1;16
9;31;23/10/2017;10;1;17
7;14;23/10/2017;10;1;18
8;29;23/10/2017;10;1;19
8;30;23/10/2017;10;1;20
4;13;23/10/2017;10;1;21
6;21;23/10/2017;10;1;22
4;14;23/10/2017;10;1;23
2;4;24/10/2017;10;2;0
2;4;24/10/2017;10;2;1
2;3;24/10/2017;10;2;2
6;32;24/10/2017;10;2;3
6;27;24/10/2017;10;2;4
6;16;24/10/2017;10;2;5
7;36;24/10/2017;10;2;6
5;60;24/10/2017;10;2;7
6;53;24/10/2017;10;2;8
7;69;24/10/2017;10;2;9
7;44;24/10/2017;10;2;10
8;37;24/10/2017;10;2;11
9;38;24/10/2017;10;2;12
8;70;24/10/2017;10;2;13
8;51;24/10/2017;10;2;14
8;68;24/10/2017;10;2;15
7;17;24/10/2017;10;2;16
7;47;24/10/2017;10;2;17
4;22;24/10/2017;10;2;18
5;26;24/10/2017;10;2;19
5;9;24/10/2017;10;2;20
5;19;24/10/2017;10;2;21
5;23;24/10/2017;10;2;22
6;32;24/10/2017;10;2;23
5;6;25/10/2017;10;3;0
3;4;25/10/2017;10;3;1
3;5;25/10/2017;10;3;2
6;19;25/10/2017;10;3;3
5;9;25/10/2017;10;3;4
6;15;25/10/2017;10;3;5
5;23;25/10/2017;10;3;6
6;55;25/10/2017;10;3;7
7;49;25/10/2017;10;3;8
7;51;25/10/2017;10;3;9
6;28;25/10/2017;10;3;10
7;63;25/10/2017;10;3;11
8;40;25/10/2017;10;3;12
7;45;25/10/2017;10;3;13
7;44;25/10/2017;10;3;14
6;25;25/10/2017;10;3;15
5;17;25/10/2017;10;3;16
7;24;25/10/2017;10;3;17
4;14;25/10/2017;10;3;18
1;1;25/10/2017;10;3;19
4;15;25/10/2017;10;3;20
5;11;26/10/2017;10;4;0
5;16;26/10/2017;10;4;1
1;1;26/10/2017;10;4;2
4;4;26/10/2017;10;4;3
5;28;26/10/2017;10;4;4
4;29;26/10/2017;10;4;5
6;13;26/10/2017;10;4;6
6;48;26/10/2017;10;4;7
7;21;26/10/2017;10;4;8
7;75;26/10/2017;10;4;9
8;27;26/10/2017;10;4;10
8;33;26/10/2017;10;4;11
7;42;26/10/2017;10;4;12
7;41;26/10/2017;10;4;13
5;16;26/10/2017;10;4;14
6;25;26/10/2017;10;4;15
4;20;26/10/2017;10;4;16
4;10;26/10/2017;10;4;17
4;13;26/10/2017;10;4;18
4;13;26/10/2017;10;4;19
7;35;26/10/2017;10;4;20
7;20;26/10/2017;10;4;21
6;22;26/10/2017;10;4;22
6;41;26/10/2017;10;4;23
4;16;27/10/2017;10;5;0
3;7;27/10/2017;10;5;1
3;4;27/10/2017;10;5;2
