IDREGISTRO;FECHA;VEHICULO;INDICE;ESTACION;TEMPERATURA;SOC;TENSION;CONSUMO
48218;2017-10-02 00:41:07.747;37;63;3716;-126;99;2693;0
48219;2017-10-02 00:41:11.703;37;63;3716;-126;99;2692;0
48220;2017-10-02 00:41:15.837;37;63;3716;125;99;2692;0
48221;2017-10-02 00:41:19.837;37;63;3716;-126;99;2692;0
48222;2017-10-02 00:41:24.710;37;63;3716;-126;99;2692;0
48223;2017-10-02 00:41:28.783;37;63;3716;-128;99;2692;0
48224;2017-10-02 00:41:32.760;37;63;3716;-127;99;2692;0
48225;2017-10-02 00:41:38.787;37;63;3716;125;99;2692;0
48226;2017-10-02 00:41:42.963;37;63;3716;-127;99;2692;0
48227;2017-10-02 00:41:47.657;37;63;3716;122;99;2692;0
48228;2017-10-02 00:41:52.877;37;63;3716;-126;99;2692;0
48229;2017-10-02 00:41:56.783;37;63;3716;126;99;2692;0
48230;2017-10-02 00:42:02.130;37;63;3716;126;99;2692;0
48231;2017-10-02 00:42:06.850;37;63;3716;125;99;2692;0
48232;2017-10-02 00:42:10.820;37;63;3716;126;99;2691;0
48233;2017-10-02 00:42:15.803;37;63;3716;-128;99;2691;0
48234;2017-10-02 00:42:19.900;37;63;3716;126;99;2691;0
48235;2017-10-02 00:42:23.843;37;63;3716;-127;99;2691;0
48236;2017-10-02 00:42:27.833;37;63;3716;126;99;2691;0
48237;2017-10-02 00:42:31.840;37;63;3716;127;99;2691;0
48238;2017-10-02 00:42:37.843;37;63;3716;127;99;2691;0
48239;2017-10-02 00:42:42.810;37;63;3716;125;99;2691;0
48240;2017-10-02 00:42:46.840;37;63;3716;127;99;2691;0
48241;2017-10-02 00:42:50.820;37;63;3716;126;99;2691;0
48242;2017-10-02 00:42:55.860;37;63;3716;-128;99;2690;0
48243;2017-10-02 00:42:59.833;37;63;3716;-128;99;2690;0
48244;2017-10-02 00:43:03.840;37;63;3716;123;99;2690;0
48245;2017-10-02 00:43:07.850;37;63;3716;-128;99;2690;0
48246;2017-10-02 00:43:11.843;37;63;3716;124;99;2691;0
48247;2017-10-02 00:43:15.870;37;63;3716;125;99;2690;0
48248;2017-10-02 00:43:19.883;37;63;3716;-127;99;2690;0
48249;2017-10-02 00:43:23.890;37;63;3716;123;99;2690;0
48250;2017-10-02 00:43:28.010;37;63;3716;127;99;2690;0
48251;2017-10-02 00:43:32.180;37;63;3716;123;99;2690;0
48252;2017-10-02 00:43:35.903;37;63;3716;127;99;2690;0
48253;2017-10-02 00:43:39.937;37;63;3716;-128;99;2690;0
48254;2017-10-02 00:43:44.123;37;63;3716;122;99;2690;0
48255;2017-10-02 00:43:48.940;37;63;3716;-128;99;2690;0
48256;2017-10-02 00:43:52.983;37;63;3716;126;99;2690;0
48257;2017-10-02 00:43:56.933;37;63;3716;127;99;2690;0
48258;2017-10-02 00:44:00.943;37;63;3716;127;99;2689;0
48259;2017-10-02 00:44:05.927;37;63;3716;-128;99;2689;0
48260;2017-10-02 00:44:11.810;37;63;3716;-125;99;2689;0
48261;2017-10-02 00:44:17.830;37;63;3716;127;99;2689;0
48262;2017-10-02 00:44:22.840;37;63;3716;127;99;2689;0
48263;2017-10-02 00:44:27.977;37;63;3716;126;99;2689;0
48264;2017-10-02 00:44:33.010;37;63;3716;126;99;2689;0
48265;2017-10-02 00:44:37.130;37;63;3716;125;99;2689;0
48266;2017-10-02 00:44:41.020;37;63;3716;124;99;2689;0
48267;2017-10-02 00:44:45.037;37;63;3716;-127;99;2689;0
48268;2017-10-02 00:44:49.073;37;63;3716;125;99;2688;0
48269;2017-10-02 00:44:54.270;37;63;3716;123;99;2688;0
48270;2017-10-02 00:44:58.550;37;63;3716;119;99;2688;0
48271;2017-10-02 00:45:03.143;37;63;3716;122;99;2688;0
48272;2017-10-02 00:45:07.073;37;63;3716;-127;99;2688;0
48273;2017-10-02 00:45:11.110;37;63;3716;125;99;2688;0
48274;2017-10-02 00:45:15.097;37;63;3716;127;99;2688;0
48275;2017-10-02 00:45:19.103;37;63;3716;-128;99;2689;0
